# Файл содержит русские синсеты, вычисляемые по данным Универсального словаря концептов UNL		
# Публикуется под СС-BY-SA		
# синсет	комментарий	список составляющих синсет UW
#		
# This file contains Russian synsets derived from the U++ UNL Universal Dictionary of Concepts		
# It is published under the terms of СС-BY-SA		
# Format:
# synset	comment	list of UWs which make up the synset		
		
посмотреть,см,смотреть	"BE A PASSIVE VIEWER","BE A VIEWER","LOOK ATTENTIVELY","SEE OR WATCH"	catch(icl>watch>do,equ>watch,agt>thing,obj>thing)+see(icl>watch>do,cob>uw,agt>thing,obj>thing)+take_in(icl>watch>do,equ>watch,agt>thing,obj>thing)+view(icl>watch>do,agt>person,obj>thing)+watch(icl>do,equ>view,agt>living_thing,obj>thing)
наверстывать,уразумевать	"UNDERSTAND, USUALLY AFTER SOME INITIAL DIFFICULTY"	catch_on(icl>grok>do,agt>volitional_thing,obj>thing)+tumble(icl>grok>do,equ>catch_on,agt>thing)
нагонять,подтягиваться	"LEARN BELATEDLY"	catch_up(icl>learn>do,agt>thing)
девиз,лозунг,словечко,словцо	"A FAVORITE SAYING OF A SECT OR POLITICAL GROUP"	catchword(icl>saying>thing,equ>motto)+motto(icl>saying>thing)+shibboleth(icl>saying>thing,equ>motto)+slogan(icl>saying>thing,equ>motto)
неофит,оглашенный	"A NEW CONVERT BEING TAUGHT THE PRINCIPLES OF CHRISTIANITY BY A CATECHIST"	catechumen(icl>student>thing)+neophyte(icl>student>thing,equ>catechumen)
категорически,решительно	"IN AN UNQUALIFIED MANNER"	categorically(icl>how,equ>flatly,com>categorical)+flatly(icl>how,com>flat)+unconditionally(icl>how,equ>flatly,com>unconditional)
классификация,сортировка	"THE BASIC COGNITIVE PROCESS OF ARRANGING INTO CLASSES OR CATEGORIES"	categorization(icl>basic_cognitive_process>thing,equ>classification)+classification(icl>basic_cognitive_process>thing)+sorting(icl>basic_cognitive_process>thing,equ>classification)
категория,класс,семейство	"A COLLECTION OF THINGS SHARING A COMMON ATTRIBUTE"	category(icl>collection>thing,equ>class)+class(icl>collection>thing)+family(icl>collection>thing,equ>class)
категория,разряд	"A GENERAL CONCEPT THAT MARKS DIVISIONS OR COORDINATIONS IN A CONCEPTUAL SCHEME"	category(icl>concept>thing)
кошачий концерт,мяуканье	"THE YOWLING SOUND MADE BY A CAT IN HEAT"	caterwaul(icl>cry>thing)
клизма,очищение желудка	"PURGING THE BODY BY THE USE OF A CATHARTIC TO STIMULATE EVACUATION OF THE BOWELS"	catharsis(icl>purge>thing)+purgation(icl>purge>thing,equ>catharsis)
всеобщность,универсальность	"THE QUALITY OF BEING UNIVERSAL"	catholicity(icl>generality>thing,equ>universality)+universality(icl>generality>thing)
вздремнуть,дремать	"TAKE A SIESTA"	catnap(icl>sleep>occur,equ>nap,obj>thing)+nap(icl>sleep>occur,obj>thing)
белый,европеоид,кавказец	"A MEMBER OF THE CAUCASOID RACE"	caucasian(icl>person)+white(icl>person>thing)
оболочка плода,сорочка	"THE INNER MEMBRANE OF EMBRYOS IN HIGHER VERTEBRATES (ESPECIALLY WHEN COVERING THE HEAD AT BIRTH)"	caul(icl>fetal_membrane>thing)+veil(icl>fetal_membrane>thing,equ>caul)
конопатчик,конопатчица	"SOMEONE WHO PACKS CRACKS, CREVICES OR SEAMS WITH A FILLER"	caulker(icl>workman>thing)
каузация,каузирование	"THE ACT OF CAUSING SOMETHING TO HAPPEN"	causation(icl>deed>thing,equ>causing)
заставлять,побуждать,стимулировать	"CAUSE TO DO","TO PERSUADE SOMEONE TO DO SOMETHING","VOLITIONALLY FORCE TO"	cause(icl>do,agt>volitional_thing,obj>thing,gol>uw)+get(icl>do,equ>cause,agt>thing,obj>volitional_thing,gol>uw)+have(icl>cause>do,agt>thing,obj>person,gol>uw)+induce(icl>stimulate>be,obj>person,aoj>thing,gol>uw)+stimulate(icl>cause>do,agt>thing,obj>thing,pur>uw)
основание,повод,причина,резон	"A JUSTIFICATION FOR SOMETHING EXISTING OR HAPPENING"	cause(icl>justification>thing)+reason(icl>justification>thing,equ>cause)
вызывать,приводить к	"GIVE RISE TO"	cause(icl>occur,cob>uw,obj>uw,ben>thing)
едкий,каустический	"ANY CHEMICAL SUBSTANCE THAT BURNS OR DESTROYS LIVING TISSUE"	caustic(icl>compound>thing)
каутеризировать,прижигать	"BURN, SEAR, OR FREEZE (TISSUE) USING A HOT IRON OR ELECTRIC CURRENT OR A CAUSTIC AGENT"	cauterize(icl>treat>do,agt>volitional_thing,obj>thing,ins>thing)
осмотрительность,осторожность	"THE TRAIT OF BEING CIRCUMSPECT AND PRUDENT"	caution(icl>discretion>thing,equ>circumspection)+circumspection(icl>discretion>thing)
консервативно,сдержанно	"IN A CONSERVATIVE MANNER"	cautiously(icl>how,equ>conservatively)+conservatively(icl>how)+guardedly(icl>how,equ>conservatively,com>guarded)
бесцеремонный,властный	"GIVEN TO HAUGHTY DISREGARD OF OTHERS"	cavalier(icl>adj)+high-handed(icl>adj,equ>cavalier)
кавалерия,конница	"TROOPS TRAINED TO FIGHT ON HORSEBACK"	cavalry(icl>military_personnel>thing)+horse(icl>military_personnel>thing,equ>cavalry)
пещерный человек,троглодит	"SOMEONE WHO LIVES IN A CAVE"	caveperson(icl>primitive>thing)+troglodyte(icl>primitive>thing,equ>caveman)
придирка,увертка	"AN EVASION OF THE POINT OF AN ARGUMENT BY RAISING IRRELEVANT DISTINCTIONS OR OBJECTIONS"	cavil(icl>evasion>thing,equ>quibble)+quibble(icl>evasion>thing)+quiddity(icl>evasion>thing,equ>quibble)
дурачиться,забавляться,резвиться	"PLAY BOISTEROUSLY"	cavort(icl>play>do,equ>frolic,agt>thing)+disport(icl>play>do,equ>frolic,agt>thing,obj>thing)+frisk(icl>play>do,equ>frolic,agt>living_thing)+frolic(icl>play>do,agt>thing)+gambol(icl>play>do,equ>frolic,agt>living_thing,ptn>thing)+lark(icl>play>do,equ>frolic,agt>thing)+rollick(icl>play>do,equ>frolic,agt>thing)+romp(icl>play>do,equ>frolic,agt>living_thing,ptn>thing)+skylark(icl>play>do,equ>frolic,agt>living_thing)+sport(icl>play>do,equ>frolic,agt>thing)
ки,риф	"A CORAL REEF OFF THE SOUTHERN COAST OF FLORIDA"	cay(icl>coral_reef>thing,equ>key)
заканчиваться,кончаться,прекращаться	"HAVE AN END","HAVE AN END OR ARRIVE SOMEWHERE","HAVE AN END, IN A TEMPORAL, SPATIAL, OR QUANTITATIVE SENSE","HAVE AN END, IN A TEMPORAL, SPATIAL, OR QUANTITATIVE SENSE; EITHER SPATIAL OR METAPHORICAL"	cease(icl>stop>occur,obj>event)+end(icl>be,equ>stop,aoj>thing,plc>concrete_thing)+finish(icl>occur,equ>end,obj>thing,gol>uw)+stop(icl>occur,ant>continue,obj>thing)+terminate(icl>end>occur,obj>thing,gol>thing)
беспрестанный,неослабный,нескончаемый	"UNINTERRUPTED IN TIME AND INDEFINITELY LONG CONTINUING"	ceaseless(icl>adj)+constant(icl>adj,equ>ceaseless)+incessant(icl>adj,equ>ceaseless)+never-ending(icl>adj,equ>ceaseless)+perpetual(icl>adj,equ>ceaseless)+unceasing(icl>adj,equ>ceaseless)+unremitting(icl>adj,equ>ceaseless)
бесконечно,беспрерывно,непрестанно,нескончаемо,постоянно	"WITH UNFLAGGING RESOLVE"	ceaselessly(icl>how,equ>endlessly,com>ceaseless)+continuously(icl>how,equ>endlessly,com>continuous)+endlessly(icl>how,com>endless)+incessantly(icl>how,equ>endlessly,com>incessant)+unceasingly(icl>how,equ>endlessly,com>unceasing)+unendingly(icl>how,equ>endlessly,com>unending)
безостановочность,беспрестанность	"THE QUALITY OF SOMETHING THAT CONTINUES WITHOUT END OR INTERRUPTION"	ceaselessness(icl>endlessness>thing,equ>continuousness)+incessancy(icl>endlessness>thing,equ>continuousness)+incessantness(icl>endlessness>thing,equ>continuousness)
Сулавеси,Целебес	"A MOUNTAINOUS ISLAND IN EASTERN INDONESIA"	celebes(iof>island>thing)+sulawesi(iof>island>thing,equ>celebes)
знаменитый,легендарный	"HAVING AN ILLUSTRIOUS PAST"	celebrated(icl>adj)+storied(icl>adj,equ>celebrated)
празднество,праздник	"ANY JOYOUS DIVERSION"	celebration(icl>diversion>thing)+festivity(icl>diversion>thing,equ>celebration)
празднование,торжество	"THE PUBLIC PERFORMANCE OF A SACRAMENT OR SOLEMN CEREMONY WITH ALL APPROPRIATE RITUAL"	celebration(icl>ritual>thing)+solemnization(icl>ritual>thing,equ>celebration)
известность,слава,широкая известность	"THE STATE OR QUALITY OF BEING WIDELY HONORED AND ACCLAIMED"	celebrity(icl>honor>thing,equ>fame,ant>infamy)+fame(icl>honor>thing,ant>infamy)+renown(icl>honor>thing,equ>fame,ant>infamy)
быстрота,проворство	"A RATE THAT IS RAPID"	celerity(icl>pace>thing)+quickness(icl>pace>thing,equ>celerity)+rapidity(icl>pace>thing,equ>celerity)
принесший обет безбрачия,целибатный	"AN UNMARRIED PERSON WHO HAS TAKEN A RELIGIOUS VOW OF CHASTITY"	celibate(icl>religious_person>thing)
кино,пленка	"A MEDIUM THAT DISSEMINATES MOVING PICTURES"	celluloid(icl>medium>thing,equ>film)+cinema(icl>medium>thing,equ>film)+film(icl>medium>thing)
клавесин,цимбалы	"A CLAVIER WITH STRINGS THAT ARE PLUCKED BY PLECTRA MOUNTED ON PIVOTS"	cembalo(icl>clavier>thing,equ>harpsichord)+harpsichord(icl>clavier>thing)
бетон,бетонка	"CONCRETE PAVEMENT IS SOMETIMES REFERRED TO AS CEMENT"	cement(icl>concrete>thing)
кладбище,некрополь	"A TRACT OF LAND USED FOR BURIALS"	cemetery(icl>site>thing)+necropolis(icl>site>thing,equ>cemetery)
пенни,сантим,цент	"A COIN WORTH ONE-HUNDREDTH OF THE VALUE OF THE BASIC UNIT"	cent(icl>coin>thing,equ>penny)+centime(icl>coin>thing,equ>penny)+penny(icl>coin>thing)
столетие,столетний юбилей	"THE 100TH ANNIVERSARY (OR THE CELEBRATION OF IT)"	centenary(icl>anniversary>thing,equ>centennial)+centennial(icl>anniversary>thing)
середина,центр	"AN AREA THAT IS APPROXIMATELY CENTRAL WITHIN SOME LARGER REGION"	center(icl>place,pof>concrete_thing)+heart(icl>area>thing,equ>center)+middle(icl>area>thing,equ>center)
середина,центр	"A POINT EQUIDISTANT FROM THE ENDS OF A LINE OR THE EXTREMITIES OF A FIGURE"	center(icl>point>thing)+midpoint(icl>point>thing,equ>center)
сантиметр,см	"A METRIC UNIT OF LENGTH EQUAL TO ONE HUNDREDTH OF A METER"	centimetre(icl>metric_linear_unit>thing,equ>centimeter)
многоножка,сороконожка	"CHIEFLY NOCTURNAL PREDACIOUS ARTHROPOD HAVING A FLATTENED BODY OF 15 TO 173 SEGMENTS EACH WITH A PAIR OF LEGS THE FOREMOST BEING MODIFIED INTO POISON FANGS"	centipede(icl>arthropod>thing)
срединный,центральный	"USED IN THE DESCRIPTION OF A PLACE THAT IN THE MIDDLE OF ANOTHER PLACE"	central(icl>adj,com>center)
сепаратор,центрифуга	"AN APPARATUS THAT USES CENTRIFUGAL FORCE TO SEPARATE PARTICLES FROM A SUSPENSION"	centrifuge(icl>apparatus>thing)+extractor(icl>apparatus>thing,equ>centrifuge)+separator(icl>apparatus>thing,equ>centrifuge)
сотня,сто	"QUANTITY","TEN 10S"	century(icl>large_integer>thing,equ>hundred)+hundred(icl>quantity)
век,неделя,час	"MEASURE OF TIME"	century(icl>period>time,icl>unit)+hour(icl>time_unit>abstract_thing)+week(icl>time,icl>unit)
гончар,керамист	"A CRAFTSMAN WHO SHAPES POTTERY ON A POTTER'S WHEEL AND BAKES THEM IT A KILN"	ceramist(icl>craftsman>thing,equ>potter)+potter(icl>craftsman>thing)+thrower(icl>craftsman>thing,equ>potter)
мазь,церат	"A HARD MEDICATED PASTE MADE OF LARD OR OIL MIXED WITH WAX OR RESIN"	cerate(icl>ointment>thing)
мозговой,церебральный	"OF OR RELATING TO THE CEREBRUM OR BRAIN"	cerebral(icl>adj,com>cerebrum)
думать,размышлять	"USE OR EXERCISE THE MIND OR ONE'S POWER OF REASON IN ORDER TO MAKE INFERENCES, DECISIONS, OR ARRIVE AT A SOLUTION OR JUDGMENTS"	cerebrate(icl>do,equ>think,agt>volitional_thing,obj>thing)+cogitate(icl>do,equ>think,agt>volitional_thing,obj>thing)
мышление,размышление	"THE ACTION OR PROCESS OF THINKING","THE PROCESS OF THOUGHT","THE PROCESS OF USING YOUR MIND TO CONSIDER SOMETHING CAREFULLY"	cerebration(icl>higher_cognitive_process>thing,equ>thinking)+intellection(icl>higher_cognitive_process>thing,equ>thinking)+mentation(icl>higher_cognitive_process>thing,equ>thinking)+thinking(icl>cognition>process)+thought(icl>process>abstract_thing)
покров,саван	"BURIAL GARMENT IN WHICH A CORPSE IS WRAPPED"	cerement(icl>burial_garment>thing,equ>pall)+pall(icl>burial_garment>thing)+shroud(icl>burial_garment>thing,equ>pall)+winding-sheet(icl>burial_garment>thing,equ>pall)
некоторый,определенный	"DEFINITE BUT NOT SPECIFIED OR IDENTIFIED"	certain(icl>adj,equ>certain)
конечно,несомненно	"DEFINITELY OR POSITIVELY (`SURE' IS SOMETIMES USED INFORMALLY FOR `SURELY')"	certainly(icl>how,equ>surely,com>certain)+sure(icl>how,equ>surely,com>sure)+surely(icl>how,com>sure)
свидетельство,сертификат	"A DOCUMENT ATTESTING TO THE TRUTH OF CERTAIN STATED FACTS"	certificate(icl>document>thing)+certification(icl>document>thing,equ>certificate)+credential(icl>document>thing,equ>certificate)
свидетельство,ценная бумага	"A FORMAL DECLARATION THAT DOCUMENTS A FACT OF RELEVANCE TO FINANCE AND INVESTMENT","AN INSTRUMENT OF INVESTMENT IN THE FORM OF A DOCUMENT PROVIDING EVIDENCE OF ITS OWNERSHIP"	certificate(icl>legal_document>thing,equ>security)+security(icl>legal_document>thing)
освобождение,сертификация	"THE ACT OF CERTIFYING OR BESTOWING A FRANCHISE ON"	certification(icl>authorization>thing)+enfranchisement(icl>authorization>thing,equ>certification,ant>disenfranchisement)
документальное подтверждение,подтверждение,свидетельство	"CONFIRMATION THAT SOME FACT OR STATEMENT IS TRUE"	certification(icl>confirmation>thing,equ>documentation)+corroboration(icl>confirmation>thing,equ>documentation)+documentation(icl>confirmation>thing)
сера,ушная сера	"A SOFT YELLOW WAX SECRETED BY GLANDS IN THE EAR CANAL"	cerumen(icl>wax>thing)+earwax(icl>wax>thing,equ>cerumen)
клоака,коллектор,слив,сток	"A COVERED CISTERN"	cesspit(icl>cistern>thing,equ>cesspool)+cesspool(icl>cistern>thing)+sink(icl>cistern>thing,equ>cesspool)+sump(icl>cistern>thing,equ>cesspool)
ланкийский,цейлонский	"OF OR RELATING TO SRI LANKA  (FORMERLY CEYLON) OR ITS PEOPLE OR CULTURE"	ceylonese(icl>adj,equ>sri_lankan,com>ceylon)+sri_lankan(icl>adj,com>ceylon)
досаждать,раздражать	"CAUSE ANNOYANCE IN"	chafe(icl>displease>do,equ>annoy,agt>thing,obj>thing)+vex(icl>displease>do,equ>annoy,agt>thing,obj>person,ins>thing)
жнивье,мякина,солома,шелуха	"MATERIAL CONSISTING OF SEED COVERINGS AND SMALL PIECES OF STEM OR LEAVES THAT HAVE BEEN SEPARATED FROM THE SEEDS"	chaff(icl>plant_material>thing)+husk(icl>plant_material>thing,equ>chaff)+shuck(icl>plant_material>thing,equ>chaff)+stalk(icl>plant_material>thing,equ>chaff)+straw(icl>plant_material>thing,equ>chaff)+stubble(icl>plant_material>thing,equ>chaff)
болтать,калякать,сплетничать,трепаться	"TALK SOCIALLY WITHOUT EXCHANGING MUCH INFORMATION","TALK SOCIALLY WITHOUT EXCHANGING TOO MUCH INFORMATION"	chaffer(icl>converse>do,equ>chew_the_fat,agt>volitional_thing,obj>thing,cag>person)+chat(icl>talk>do,agt>person,obj>uw,ptn>person)+chatter(icl>converse>do,equ>chew_the_fat,agt>volitional_thing,obj>thing,cag>person)+chitchat(icl>converse>do,equ>chew_the_fat,agt>volitional_thing,obj>thing,cag>person)+confab(icl>converse>do,equ>chew_the_fat,agt>thing)+confabulate(icl>converse>do,equ>chew_the_fat,agt>thing)+gossip(icl>converse>do,equ>chew_the_fat,agt>volitional_thing,obj>thing)+natter(icl>converse>do,equ>chew_the_fat,agt>volitional_thing,cag>person)
выторговывать,торговаться	"WRANGLE (OVER A PRICE, TERMS OF AN AGREEMENT, ETC.)"	chaffer(icl>dicker>do,equ>haggle,agt>thing)+haggle(icl>dicker>do,rsn>thing,agt>volitional_thing,cag>volitional_thing)+higgle(icl>dicker>do,equ>haggle,agt>thing)+huckster(icl>dicker>do,equ>haggle,agt>thing)
досада,унижение	"STRONG FEELINGS OF EMBARRASSMENT"	chagrin(icl>embarrassment>thing)+humiliation(icl>embarrassment>thing,equ>chagrin)+mortification(icl>embarrassment>thing,equ>chagrin)
горная цепь,цепь	"A SERIES OF HILLS OR MOUNTAINS"	chain(icl>geological_formation>thing,equ>range)+range(icl>geological_formation>thing)
цепочка,цепь	"A SERIES OF THINGS DEPENDING ON EACH OTHER AS IF LINKED TOGETHER"	chain(icl>series>thing)+concatenation(icl>series>thing,equ>chain)
кафедра,профессорство	"THE POSITION OF PROFESSOR"	chair(icl>position>thing,equ>professorship)+professorship(icl>position>thing)
председатель,председательница	"THE OFFICER WHO PRESIDES AT THE MEETINGS OF AN ORGANIZATION"	chair(icl>presiding_officer>thing,equ>president)+chairman(icl>presiding_officer>thing,equ>president)+chairperson(icl>presiding_officer>thing,equ>president)+chairwoman(icl>presiding_officer>thing,equ>president)+president(icl>presiding_officer>thing)
возражать,оспаривать	"REFUSE TO ACCEPT THAT SOMETHING IS RIGHT","TAKE EXCEPTION TO"	challenge(icl>dispute>be,obj>uw,aoj>person)+dispute(icl>contest>do,equ>challenge,agt>volitional_thing,obj>thing)+gainsay(icl>contest>do,equ>challenge,agt>thing,obj>thing)
противник,соперник	"THE CONTESTANT YOU HOPE TO DEFEAT"	challenger(icl>contestant>thing,equ>rival)+competition(icl>contestant>thing,equ>rival)+competitor(icl>contestant>thing,equ>rival)+contender(icl>contestant>thing,equ>rival)+rival(icl>contestant>thing)
борец,герой,паладин	"SOMEONE WHO FIGHTS FOR A CAUSE"	champion(icl>defender>thing)+fighter(icl>defender>thing,equ>champion)+hero(icl>defender>thing,equ>champion)+paladin(icl>defender>thing,equ>champion)
титул,чемпионство	"THE STATUS OF BEING A CHAMPION"	championship(icl>high_status>thing)+title(icl>high_status>thing,equ>championship)
возможность,шанс	"A POSSIBILITY DUE TO A FAVORABLE COMBINATION OF CIRCUMSTANCES"	chance(icl>possibility>thing,equ>opportunity)+opportunity(icl>possibility>thing)
канцлер,премьер,премьер-министр	"THE PERSON WHO IS HEAD OF STATE (IN SEVERAL COUNTRIES)"	chancellor(icl>head_of_state>thing)+premier(icl>head_of_state>thing,equ>chancellor)
рискованный,сомнительный	"SUBJECT TO ACCIDENT OR CHANCE OR CHANGE"	chancy(icl>adj)+iffy(icl>adj,equ>chancy)
канделябр,люстра	"BRANCHED LIGHTING FIXTURE"	chandelier(icl>lighting_fixture>thing)+pendant(icl>lighting_fixture>thing,equ>chandelier)
замена,смена	"THE ACTION OF REPLACING SOMETHING"	change(icl>action,agt>uw,obj>uw)
меняться,обмениваться	"EXCHANGE SMTH WITH SOMEONE","GIVE TO, AND RECEIVE FROM, ONE ANOTHER"	change(icl>do,agt>person>thing,obj>thing,ptn>person>thing)+interchange(icl>transfer>do,equ>exchange,agt>thing,obj>thing,ptn>thing)
